"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"abinitio","Zul'jin","True","91.0 %                                 Kills100.0 %                                 Teamwork (Takedowns)82.6 %                                 Deaths83.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege91.4 %                                 XP88.7 %","19","10","9","3","00:01:11","62,577","107,082","19,562","19,500","28,012","11,303"
"gabolara","Lunara","True","85.5 %                                 Kills50.0 %                                 Teamwork (Takedowns)87.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)76.3 %                                 Siege100.0 %                                 XP100.0 %","20","5","15","2","00:00:55","73,652","117,201"," ","0","22,075","12,738"
"Diko","Blaze","True","73.8 %                                 Kills30.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)93.7 %                                 Siege49.7 %                                 XP69.5 %","23","3","20","2","00:01:22","50,985","58,245","13,952","13,860","50,349","8,851"
"CallMeAKing","Raynor","False","63.9 %                                 Kills40.0 %                                 Teamwork (Takedowns)47.8 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)80.6 %                                 Siege60.2 %                                 XP87.9 %","11","4","7","4","00:02:08","48,506","70,578","14,424","15,082","45,639","11,194"
"LastSacred","Li Li","True","62.7 %                                 Kills30.0 %                                 Teamwork (Takedowns)91.3 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)86.5 %                                 Siege13.9 %                                 XP54.7 %","21","3","18","2","00:01:20","26,707","16,274","57,272","0","23,979","6,963"
"MadHai","Varian","True","59.2 %                                 Kills30.0 %                                 Teamwork (Takedowns)95.7 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)62.7 %                                 Siege29.1 %                                 XP71.0 %","22","3","19","4","00:02:13","27,835","34,096","11,195","11,141","77,539","9,050"
"Turtlechair","Sonya","False","53.6 %                                 Kills10.0 %                                 Teamwork (Takedowns)52.2 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)71.2 %                                 Siege52.7 %                                 XP68.9 %","12","1","11","4","00:02:22","27,492","61,754","6,384","25,263","79,563","8,771"
"syreno1234","Malthael","False","52.8 %                                 Kills80.0 %                                 Teamwork (Takedowns)52.2 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)94.5 %                                 Siege33.9 %                                 XP56.3 %","12","8","4","8","00:04:42","57,180","39,752","19,569","19,433","69,558","7,166"
"JohnnyKA","Lt. Morales","False","50.1 %                                 Kills0.0 %                                 Teamwork (Takedowns)43.5 %                                 Deaths83.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)98.6 %                                 Siege17.8 %                                 XP57.3 %","10","0","10","3","00:01:32","8,313","20,808","80,681","10,944","28,308","7,305"
"Moghlan","Garrosh","False","29.2 %                                 Kills0.0 %                                 Teamwork (Takedowns)39.1 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)31.1 %                                 Siege23.6 %                                 XP47.9 %","9","0","9","6","00:03:17","17,911","27,705","3,742","3,735","54,947","6,101"
