ReplayID,Map Name,Length,Hero,Lvl,Result,Date and Time (UTC),Share Replay
162991185,Alterac Pass,00:17:48,Li Li,20,1,12/20/2018 3:32:02 AM,Share Replay
162991177,Volskaya Foundry,00:20:08,Anub'arak,20,0,12/20/2018 2:58:41 AM,Share Replay
162991173,Towers of Doom,00:22:25,Tracer,20,1,12/20/2018 2:29:22 AM,Share Replay
162638020,Infernal Shrines,00:19:48,Artanis,20,0,12/13/2018 3:44:41 AM,Share Replay
162636915,Alterac Pass,00:18:54,Kharazim,20,0,12/13/2018 3:16:41 AM,Share Replay
162635985,Battlefield of Eternity,00:28:22,Anub'arak,20,1,12/13/2018 2:49:24 AM,Share Replay
162634723,Braxis Holdout,00:16:21,Anub'arak,20,0,12/13/2018 2:13:09 AM,Share Replay
162583187,Infernal Shrines,00:18:10,Azmodan,20,1,12/12/2018 2:24:26 AM,Share Replay
162582274,Tomb of the Spider Queen,00:22:48,Li Li,20,0,12/12/2018 1:56:29 AM, 
162458962,Towers of Doom,00:21:09,Li Li,20,1,12/10/2018 12:52:00 AM,Share Replay
162456345,Sky Temple,00:20:50,Tracer,20,1,12/10/2018 12:04:54 AM,Share Replay
162244289,Dragon Shire,00:20:47,Mal'Ganis,8,1,12/7/2018 3:00:07 AM,Share Replay
162242450,Infernal Shrines,00:17:46,Li Li,20,0,12/7/2018 2:31:14 AM,Share Replay
162174809,Tomb of the Spider Queen,00:23:18,Azmodan,20,1,12/6/2018 3:45:54 AM,Share Replay
162032887,Cursed Hollow,00:21:03,Anub'arak,20,1,12/4/2018 5:06:02 AM,Share Replay
161956760,Dragon Shire,00:29:08,Li Li,20,1,12/3/2018 3:30:03 AM,Share Replay
161955283,Volskaya Foundry,00:19:59,Li Li,20,0,12/3/2018 2:51:29 AM,Share Replay
161954258,Braxis Holdout,00:26:00,Azmodan,20,1,12/3/2018 2:20:49 AM,Share Replay
161953040,Infernal Shrines,00:20:33,Johanna,6,0,12/3/2018 1:45:00 AM,Share Replay
161951484,Volskaya Foundry,00:25:28,Varian,7,1,12/1/2018 7:16:53 PM,Share Replay
161687195,Dragon Shire,00:27:31,Kharazim,20,0,11/29/2018 9:55:47 PM,Share Replay
161570212,Tomb of the Spider Queen,00:19:18,Varian,7,0,11/28/2018 3:39:26 AM,Share Replay
161568717,Braxis Holdout,00:18:24,Azmodan,20,1,11/28/2018 3:10:32 AM,Share Replay
161567540,Infernal Shrines,00:16:38,Blaze,17,0,11/28/2018 2:42:21 AM,Share Replay
161566138,Battlefield of Eternity,00:18:13,Azmodan,20,1,11/28/2018 2:17:48 AM,Share Replay
161507307,Volskaya Foundry,00:27:28,Azmodan,20,1,11/27/2018 4:38:23 AM,Share Replay
161505172,Dragon Shire,00:18:37,Mal'Ganis,8,0,11/27/2018 3:53:10 AM, 
161504533,Cursed Hollow,00:25:59,Azmodan,20,0,11/27/2018 3:26:35 AM,Share Replay
